FID,BTAWithin100m,BTAWithin100mWithAmenityData,BTAWithin100mWithNameData,BTAWithin100mWithReligionData,BTAWithin100mWithWebsiteData,BTAWithin225m,BTAWithin225mWithAmenityData,BTAWithin225mWithNameData,BTAWithin225mWithReligionData,BTAWithin225mWithWebsiteData,BTAWithin25m,BTAWithin25mWithAmenityData,BTAWithin25mWithNameData,BTAWithin400m,BTAWithin400mWithAmenityData,BTAWithin400mWithNameData,BTAWithin400mWithReligionData,BTAWithin400mWithWebsiteData,BTAWithin625m,BTAWithin625mWithAmenityData,BTAWithin625mWithNameData,BTAWithin625mWithReligionData,BTAWithin625mWithWebsiteData,BuildingsWithin100m,BuildingsWithin100mWithAmenityData,BuildingsWithin100mWithNameData,BuildingsWithin100mWithReligionData,BuildingsWithin100mWithWebsiteData,BuildingsWithin225m,BuildingsWithin225mWithAmenityData,BuildingsWithin225mWithNameData,BuildingsWithin225mWithReligionData,BuildingsWithin225mWithWebsiteData,BuildingsWithin25m,BuildingsWithin400m,BuildingsWithin400mWithAmenityData,BuildingsWithin400mWithNameData,BuildingsWithin400mWithReligionData,BuildingsWithin400mWithWebsiteData,BuildingsWithin625m,BuildingsWithin625mWithAmenityData,BuildingsWithin625mWithNameData,BuildingsWithin625mWithReligionData,BuildingsWithin625mWithWebsiteData,END_DAY_0,END_MONTH_0,END_TIME_0,END_TIME_1,START_DAY_1,START_TIME_0,START_TIME_1,VF_PLATSER_0,END_TIME_0_nan_mask,START_TIME_0_nan_mask,START_WEEKDAY_0_nan_mask,VEHICLE_0_nan_mask,VF_PLATS_TYP_0_nan_mask
30863572,12048.0,0.0,0.0,0.0,0.0,54055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225174.0,0.0,33405.0,0.0,0.0,481583.0,3279.0,87489.0,0.0,12957.0,28,0,0,0,0,125,0,0,0,0,0,244,0,2,0,0,442,2,7,0,1,15,5,800,0,16,1600,0,11,1,1,1,1,1
30863573,23070.0,0.0,0.0,0.0,0.0,68865.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,325652.0,480.0,813.0,480.0,480.0,706298.0,23230.0,18118.0,4860.0,15937.0,10,0,0,0,0,34,1,1,1,1,0,202,1,2,1,1,686,8,8,2,5,31,10,0,800,1,0,1600,21,0,0,0,1,1
30863574,23070.0,0.0,0.0,0.0,0.0,68865.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,325652.0,480.0,813.0,480.0,480.0,706298.0,23230.0,18118.0,4860.0,15937.0,10,0,0,0,0,34,1,1,1,1,0,202,1,2,1,1,686,8,8,2,5,15,5,800,0,16,1600,0,21,1,1,1,1,1
30863575,19185.0,0.0,14901.0,0.0,0.0,70817.0,1263.0,28263.0,1263.0,0.0,0.0,0.0,0.0,189923.0,10200.0,38231.0,1263.0,0.0,363910.0,10317.0,52538.0,1263.0,0.0,6,0,3,0,0,27,1,7,1,0,0,89,5,13,1,0,219,6,19,1,0,0,0,800,800,0,1200,1200,22,1,1,1,1,1
30863576,19185.0,0.0,14901.0,0.0,0.0,70817.0,1263.0,28263.0,1263.0,0.0,0.0,0.0,0.0,189923.0,10200.0,38231.0,1263.0,0.0,363910.0,10317.0,52538.0,1263.0,0.0,6,0,3,0,0,27,1,7,1,0,0,89,5,13,1,0,219,6,19,1,0,0,0,800,800,0,1200,1200,22,1,1,1,1,1
30863577,19185.0,0.0,14901.0,0.0,0.0,70817.0,1263.0,28263.0,1263.0,0.0,0.0,0.0,0.0,189923.0,10200.0,38231.0,1263.0,0.0,363910.0,10317.0,52538.0,1263.0,0.0,6,0,3,0,0,27,1,7,1,0,0,89,5,13,1,0,219,6,19,1,0,0,0,800,800,0,1200,1200,22,1,1,1,1,1
30863578,6192.0,0.0,0.0,0.0,0.0,16218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59611.0,0.0,405.0,0.0,0.0,194365.0,0.0,6735.0,0.0,0.0,1,0,0,0,0,14,0,0,0,0,0,83,0,1,0,0,171,0,2,0,0,31,10,0,800,1,0,1600,0,0,0,0,1,1
30863579,6192.0,0.0,0.0,0.0,0.0,16218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59611.0,0.0,405.0,0.0,0.0,194365.0,0.0,6735.0,0.0,0.0,1,0,0,0,0,14,0,0,0,0,0,83,0,1,0,0,171,0,2,0,0,15,5,800,0,16,1600,0,0,1,1,1,1,1
30863580,7086.0,0.0,0.0,0.0,0.0,58551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204470.0,0.0,33282.0,0.0,0.0,510829.0,10200.0,134142.0,1263.0,0.0,7,0,0,0,0,34,0,0,0,0,0,95,0,3,0,0,230,5,20,1,0,31,10,0,800,1,0,1600,29,0,0,0,1,1
30863581,7086.0,0.0,0.0,0.0,0.0,58551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204470.0,0.0,33282.0,0.0,0.0,510829.0,10200.0,134142.0,1263.0,0.0,7,0,0,0,0,34,0,0,0,0,0,95,0,3,0,0,230,5,20,1,0,15,5,800,0,16,1600,0,29,1,1,1,1,1
30863582,16032.0,5967.0,5967.0,0.0,0.0,56435.0,5967.0,5967.0,0.0,0.0,0.0,0.0,0.0,190157.0,8097.0,8097.0,0.0,2130.0,488303.0,16749.0,40707.0,0.0,2709.0,9,1,1,0,0,78,1,1,0,0,0,267,2,2,0,1,762,3,7,0,2,0,0,800,0,0,1000,0,8,1,1,1,1,1
30863583,17946.0,5967.0,5967.0,0.0,0.0,54530.0,5967.0,5967.0,0.0,0.0,0.0,0.0,0.0,192053.0,8097.0,8097.0,0.0,2130.0,487220.0,16749.0,40707.0,0.0,2709.0,13,1,1,0,0,80,1,1,0,0,0,270,2,2,0,1,783,3,7,0,2,0,0,800,0,0,1000,0,8,1,1,1,1,1
30863584,42147.0,0.0,0.0,0.0,0.0,147872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334948.0,0.0,0.0,0.0,0.0,618346.0,3033.0,2493.0,0.0,0.0,9,0,0,0,0,43,0,0,0,0,0,146,0,0,0,0,321,1,1,0,0,31,10,1800,800,1,900,1000,0,1,1,0,1,1
30864205,8286.0,0.0,0.0,0.0,0.0,31365.0,0.0,0.0,0.0,0.0,738.0,0.0,0.0,110895.0,0.0,0.0,0.0,0.0,324887.0,261.0,5844.0,261.0,0.0,14,0,0,0,0,69,0,0,0,0,1,263,0,0,0,0,523,1,1,1,0,31,10,1800,800,1,800,1600,0,1,1,0,1,1
30864206,8286.0,0.0,0.0,0.0,0.0,31365.0,0.0,0.0,0.0,0.0,738.0,0.0,0.0,110895.0,0.0,0.0,0.0,0.0,324887.0,261.0,5844.0,261.0,0.0,14,0,0,0,0,69,0,0,0,0,1,263,0,0,0,0,523,1,1,1,0,15,5,800,1800,16,1600,800,0,1,1,1,1,1
30864207,27318.0,0.0,0.0,0.0,0.0,131796.0,0.0,0.0,0.0,0.0,1830.0,0.0,0.0,304144.0,20256.0,15129.0,5352.0,0.0,568957.0,28899.0,40248.0,5352.0,0.0,21,0,0,0,0,76,0,0,0,0,2,146,5,3,1,0,287,7,6,1,0,31,10,1800,800,1,800,1600,0,1,1,0,1,1
30864208,27318.0,0.0,0.0,0.0,0.0,131796.0,0.0,0.0,0.0,0.0,1830.0,0.0,0.0,304144.0,20256.0,15129.0,5352.0,0.0,568957.0,28899.0,40248.0,5352.0,0.0,21,0,0,0,0,76,0,0,0,0,2,146,5,3,1,0,287,7,6,1,0,15,5,800,1800,16,1600,800,0,1,1,1,1,1
30864209,27183.0,0.0,19938.0,0.0,0.0,140483.0,0.0,131663.0,0.0,13578.0,0.0,0.0,0.0,672682.0,28605.0,407243.0,0.0,103096.0,1348640.0,28605.0,678634.0,0.0,109126.0,3,0,2,0,0,11,0,9,0,1,0,45,2,20,0,5,100,2,30,0,6,0,0,0,0,0,800,0,0,1,1,1,1,1
30864210,29796.0,0.0,29796.0,0.0,0.0,129391.0,17727.0,94120.0,0.0,12860.0,0.0,0.0,0.0,678341.0,28605.0,432509.0,0.0,103096.0,1357922.0,35043.0,685072.0,6438.0,115564.0,3,0,3,0,0,14,1,9,0,1,0,42,2,21,0,5,114,4,32,2,8,0,0,0,0,0,800,0,0,1,1,1,1,1
30864211,31689.0,0.0,25794.0,0.0,0.0,151912.0,17727.0,109123.0,0.0,16103.0,0.0,0.0,0.0,637739.0,28605.0,414015.0,0.0,103096.0,1432528.0,37812.0,687841.0,6438.0,115564.0,4,0,3,0,0,17,1,9,0,2,0,41,2,20,0,5,133,5,33,2,8,0,0,0,0,0,800,0,0,1,1,1,1,1
30864212,25791.0,0.0,0.0,0.0,0.0,97161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320785.0,11428.0,35698.0,6690.0,31214.0,678949.0,13384.0,39621.0,6690.0,31954.0,7,0,0,0,0,39,0,0,0,0,0,123,4,13,2,5,288,5,16,2,6,31,10,0,800,1,0,1600,15,0,0,0,1,1
30864213,25791.0,0.0,0.0,0.0,0.0,97161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320785.0,11428.0,35698.0,6690.0,31214.0,678949.0,13384.0,39621.0,6690.0,31954.0,7,0,0,0,0,39,0,0,0,0,0,123,4,13,2,5,288,5,16,2,6,15,5,800,0,16,1600,0,15,1,1,1,1,1
30864214,17024.0,0.0,0.0,0.0,0.0,72003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214554.0,0.0,0.0,0.0,0.0,571653.0,3033.0,2493.0,0.0,0.0,7,0,0,0,0,39,0,0,0,0,0,176,0,0,0,0,445,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30864215,86776.0,0.0,69286.0,0.0,6030.0,191121.0,0.0,82387.0,0.0,6030.0,0.0,0.0,0.0,551489.0,6006.0,283957.0,0.0,12996.0,1251478.0,7194.0,630849.0,0.0,101623.0,3,0,2,0,1,12,0,3,0,1,0,43,1,12,0,2,111,3,25,0,6,0,0,0,0,0,800,0,0,1,1,1,1,1
30864216,69286.0,0.0,69286.0,0.0,6030.0,145974.0,0.0,69286.0,0.0,6030.0,0.0,0.0,0.0,534341.0,0.0,258425.0,0.0,6030.0,1299066.0,7194.0,700373.0,0.0,101623.0,2,0,2,0,1,10,0,2,0,1,0,37,0,9,0,1,107,3,30,0,6,0,0,0,0,0,800,0,0,1,1,1,1,1
30864217,90391.0,0.0,63256.0,0.0,0.0,221505.0,0.0,103189.0,0.0,6030.0,0.0,0.0,0.0,540734.0,6006.0,283957.0,0.0,12996.0,1300318.0,13632.0,637287.0,6438.0,108061.0,3,0,1,0,0,14,0,4,0,1,0,44,1,12,0,2,123,5,27,2,8,0,0,0,0,0,800,0,0,1,1,1,1,1
30864218,85477.0,0.0,0.0,0.0,0.0,192093.0,444.0,1662.0,0.0,1192.0,0.0,0.0,0.0,323621.0,16733.0,3123.0,0.0,2653.0,577724.0,16733.0,6723.0,0.0,2653.0,11,0,0,0,0,72,3,2,0,1,0,150,5,3,0,2,503,5,4,0,2,31,10,0,800,1,0,1000,0,0,0,0,1,1
30864219,85477.0,0.0,0.0,0.0,0.0,192093.0,444.0,1662.0,0.0,1192.0,0.0,0.0,0.0,323621.0,16733.0,3123.0,0.0,2653.0,577724.0,16733.0,6723.0,0.0,2653.0,11,0,0,0,0,72,3,2,0,1,0,150,5,3,0,2,503,5,4,0,2,15,5,800,0,16,1000,0,0,1,1,1,1,1
30863725,16765.0,0.0,0.0,0.0,0.0,77723.0,0.0,0.0,0.0,0.0,2607.0,0.0,0.0,212246.0,3897.0,13976.0,3897.0,6296.0,454236.0,3897.0,20048.0,3897.0,6296.0,12,0,0,0,0,57,0,0,0,0,1,129,1,4,1,1,371,1,6,1,1,0,0,600,600,0,900,900,24,1,1,1,1,1
30863726,16765.0,0.0,0.0,0.0,0.0,77723.0,0.0,0.0,0.0,0.0,2607.0,0.0,0.0,212246.0,3897.0,13976.0,3897.0,6296.0,454236.0,3897.0,20048.0,3897.0,6296.0,12,0,0,0,0,57,0,0,0,0,1,129,1,4,1,1,371,1,6,1,1,0,0,600,600,0,900,900,24,1,1,1,1,1
30863727,22509.0,0.0,0.0,0.0,0.0,82007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210215.0,3897.0,13976.0,3897.0,6296.0,455517.0,3897.0,20048.0,3897.0,6296.0,14,0,0,0,0,54,0,0,0,0,0,124,1,4,1,1,361,1,6,1,1,0,0,600,600,0,900,900,24,1,1,1,1,1
30863728,22509.0,0.0,0.0,0.0,0.0,82007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210215.0,3897.0,13976.0,3897.0,6296.0,455517.0,3897.0,20048.0,3897.0,6296.0,14,0,0,0,0,54,0,0,0,0,0,124,1,4,1,1,361,1,6,1,1,0,0,600,600,0,900,900,24,1,1,1,1,1
30863729,22509.0,0.0,0.0,0.0,0.0,82007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210215.0,3897.0,13976.0,3897.0,6296.0,455517.0,3897.0,20048.0,3897.0,6296.0,14,0,0,0,0,54,0,0,0,0,0,124,1,4,1,1,361,1,6,1,1,0,0,600,600,0,900,900,24,1,1,1,1,1
30863730,15342.0,0.0,0.0,0.0,0.0,61418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263886.0,0.0,50602.0,0.0,0.0,519810.0,10500.0,84543.0,1929.0,0.0,6,0,0,0,0,37,0,0,0,0,0,89,0,1,0,0,246,5,12,1,0,31,10,0,800,1,0,1600,30,0,0,0,1,1
30863731,15342.0,0.0,0.0,0.0,0.0,61418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263886.0,0.0,50602.0,0.0,0.0,519810.0,10500.0,84543.0,1929.0,0.0,6,0,0,0,0,37,0,0,0,0,0,89,0,1,0,0,246,5,12,1,0,15,5,800,0,16,1600,0,30,1,1,1,1,1
30863732,15186.0,0.0,0.0,0.0,0.0,60434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258699.0,0.0,50602.0,0.0,0.0,510318.0,10500.0,84543.0,1929.0,0.0,6,0,0,0,0,36,0,0,0,0,0,88,0,1,0,0,246,5,12,1,0,31,10,0,800,1,0,1600,30,0,0,0,1,1
30863733,15186.0,0.0,0.0,0.0,0.0,60434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258699.0,0.0,50602.0,0.0,0.0,510318.0,10500.0,84543.0,1929.0,0.0,6,0,0,0,0,36,0,0,0,0,0,88,0,1,0,0,246,5,12,1,0,15,5,800,0,16,1600,0,30,1,1,1,1,1
30863734,20049.0,0.0,0.0,0.0,0.0,73992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220760.0,0.0,28305.0,0.0,0.0,520893.0,4851.0,144061.0,1929.0,0.0,7,0,0,0,0,40,0,0,0,0,0,99,0,2,0,0,196,3,19,1,0,31,10,0,800,1,0,1600,22,0,0,0,1,1
30863735,20049.0,0.0,0.0,0.0,0.0,73992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220760.0,0.0,28305.0,0.0,0.0,520893.0,4851.0,144061.0,1929.0,0.0,7,0,0,0,0,40,0,0,0,0,0,99,0,2,0,0,196,3,19,1,0,15,5,800,0,16,1600,0,22,1,1,1,1,1
30863736,11452.0,0.0,1030.0,0.0,0.0,54745.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,209920.0,9195.0,35185.0,0.0,0.0,435674.0,31536.0,51853.0,0.0,0.0,11,0,1,0,0,60,0,1,0,0,0,179,1,4,0,0,308,3,6,0,0,0,0,800,0,0,1200,0,4,1,1,1,1,1
30863737,23331.0,0.0,0.0,0.0,0.0,89645.0,9195.0,0.0,0.0,0.0,0.0,0.0,0.0,149882.0,9195.0,13693.0,0.0,0.0,282786.0,23046.0,35185.0,0.0,0.0,24,0,0,0,0,104,1,0,0,0,0,145,1,3,0,0,218,2,4,0,0,0,0,800,800,0,1200,1200,0,1,1,1,1,1
30863738,23331.0,0.0,0.0,0.0,0.0,89645.0,9195.0,0.0,0.0,0.0,0.0,0.0,0.0,149882.0,9195.0,13693.0,0.0,0.0,282786.0,23046.0,35185.0,0.0,0.0,24,0,0,0,0,104,1,0,0,0,0,145,1,3,0,0,218,2,4,0,0,0,0,800,800,0,1200,1200,0,1,1,1,1,1
30863950,18084.0,0.0,0.0,0.0,0.0,93006.0,0.0,0.0,0.0,0.0,1377.0,0.0,0.0,254343.0,3567.0,4998.0,0.0,2982.0,593440.0,12816.0,48826.0,3609.0,18809.0,13,0,0,0,0,72,0,0,0,0,3,304,2,2,0,1,700,5,14,1,4,15,5,800,0,16,1600,0,24,1,1,1,1,1
30863951,12444.0,0.0,0.0,0.0,0.0,63507.0,0.0,0.0,0.0,0.0,1968.0,0.0,0.0,199821.0,0.0,10623.0,0.0,0.0,446319.0,9723.0,27690.0,0.0,0.0,24,0,0,0,0,154,0,0,0,0,1,389,0,2,0,0,746,3,6,0,0,31,10,0,800,1,0,1600,13,0,0,0,1,1
30863952,12444.0,0.0,0.0,0.0,0.0,63507.0,0.0,0.0,0.0,0.0,1968.0,0.0,0.0,199821.0,0.0,10623.0,0.0,0.0,446319.0,9723.0,27690.0,0.0,0.0,24,0,0,0,0,154,0,0,0,0,1,389,0,2,0,0,746,3,6,0,0,15,5,800,0,16,1600,0,13,1,1,1,1,1
30863953,12981.0,0.0,0.0,0.0,0.0,90348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203622.0,0.0,0.0,0.0,0.0,456837.0,1590.0,4296.0,0.0,0.0,5,0,0,0,0,114,0,0,0,0,0,302,0,0,0,0,794,1,4,0,0,31,10,0,800,1,0,1600,10,0,0,0,1,1
30863954,12981.0,0.0,0.0,0.0,0.0,90348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203622.0,0.0,0.0,0.0,0.0,456837.0,1590.0,4296.0,0.0,0.0,5,0,0,0,0,114,0,0,0,0,0,302,0,0,0,0,794,1,4,0,0,15,5,800,0,16,1600,0,10,1,1,1,1,1
30863955,11622.0,0.0,0.0,0.0,0.0,51771.0,2733.0,2733.0,1011.0,1011.0,2709.0,0.0,0.0,155976.0,2733.0,4314.0,1011.0,1011.0,390434.0,2796.0,22088.0,1011.0,1011.0,21,0,0,0,0,140,2,2,1,1,1,360,2,6,1,1,989,3,9,1,1,31,10,1700,800,1,900,1000,0,1,1,0,1,1
30863956,11622.0,0.0,0.0,0.0,0.0,51771.0,2733.0,2733.0,1011.0,1011.0,2709.0,0.0,0.0,155976.0,2733.0,4314.0,1011.0,1011.0,390434.0,2796.0,22088.0,1011.0,1011.0,21,0,0,0,0,140,2,2,1,1,1,360,2,6,1,1,989,3,9,1,1,15,5,800,1700,16,1000,900,0,1,1,1,1,1
30863957,21624.0,2397.0,0.0,0.0,0.0,164904.0,7524.0,18873.0,0.0,0.0,0.0,0.0,0.0,378179.0,25179.0,36528.0,5352.0,0.0,644312.0,29129.0,46322.0,5352.0,230.0,7,1,0,0,0,45,3,2,0,0,0,215,6,5,1,0,504,8,8,1,1,31,10,0,800,1,0,1600,0,0,0,0,1,1
30863958,21624.0,2397.0,0.0,0.0,0.0,164904.0,7524.0,18873.0,0.0,0.0,0.0,0.0,0.0,378179.0,25179.0,36528.0,5352.0,0.0,644312.0,29129.0,46322.0,5352.0,230.0,7,1,0,0,0,45,3,2,0,0,0,215,6,5,1,0,504,8,8,1,1,15,5,800,0,16,1600,0,0,1,1,1,1,1
30863959,35547.0,2214.0,0.0,0.0,0.0,172504.0,7524.0,0.0,0.0,0.0,0.0,0.0,0.0,402385.0,25179.0,36528.0,5352.0,0.0,631916.0,29129.0,46322.0,5352.0,230.0,11,1,0,0,0,53,3,0,0,0,0,149,6,5,1,0,454,8,8,1,1,31,10,0,800,1,0,1600,0,0,0,0,1,1
30863960,35547.0,2214.0,0.0,0.0,0.0,172504.0,7524.0,0.0,0.0,0.0,0.0,0.0,0.0,402385.0,25179.0,36528.0,5352.0,0.0,631916.0,29129.0,46322.0,5352.0,230.0,11,1,0,0,0,53,3,0,0,0,0,149,6,5,1,0,454,8,8,1,1,15,5,800,0,16,1600,0,0,1,1,1,1,1
30863961,36748.0,3900.0,8544.0,0.0,8544.0,130163.0,7821.0,8544.0,0.0,8544.0,0.0,0.0,0.0,642933.0,342204.0,390246.0,0.0,339996.0,1003728.0,347958.0,466290.0,1524.0,346170.0,11,1,1,0,1,46,2,1,0,1,0,100,4,11,0,2,226,7,18,1,3,31,10,1900,800,1,900,1600,0,1,1,0,1,1
30863962,36748.0,3900.0,8544.0,0.0,8544.0,130163.0,7821.0,8544.0,0.0,8544.0,0.0,0.0,0.0,642933.0,342204.0,390246.0,0.0,339996.0,1003728.0,347958.0,466290.0,1524.0,346170.0,11,1,1,0,1,46,2,1,0,1,0,100,4,11,0,2,226,7,18,1,3,15,5,800,1900,16,1600,900,0,1,1,1,1,1
30863585,42147.0,0.0,0.0,0.0,0.0,147872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334948.0,0.0,0.0,0.0,0.0,618346.0,3033.0,2493.0,0.0,0.0,9,0,0,0,0,43,0,0,0,0,0,146,0,0,0,0,321,1,1,0,0,15,5,800,1800,16,1000,900,0,1,1,1,1,1
30864005,21601.0,0.0,0.0,0.0,0.0,83797.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,178923.0,4230.0,1633.0,0.0,0.0,669359.0,17997.0,211208.0,0.0,1995.0,14,0,0,0,0,60,0,0,0,0,1,162,2,3,0,0,257,4,10,0,1,15,5,800,1800,16,1200,800,0,1,1,1,1,1
30864006,18918.0,0.0,0.0,0.0,0.0,106962.0,12513.0,0.0,0.0,0.0,0.0,0.0,0.0,262086.0,35769.0,15612.0,0.0,0.0,410832.0,64308.0,28551.0,0.0,0.0,9,0,0,0,0,42,3,0,0,0,0,104,9,3,0,0,196,17,4,0,0,31,10,0,800,1,0,1600,0,0,0,0,1,1
30864007,18918.0,0.0,0.0,0.0,0.0,106962.0,12513.0,0.0,0.0,0.0,0.0,0.0,0.0,262086.0,35769.0,15612.0,0.0,0.0,410832.0,64308.0,28551.0,0.0,0.0,9,0,0,0,0,42,3,0,0,0,0,104,9,3,0,0,196,17,4,0,0,15,5,800,0,16,1600,0,0,1,1,1,1,1
30864008,22329.0,0.0,0.0,0.0,0.0,104491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277642.0,1054.0,1950.0,0.0,0.0,673635.0,13384.0,82603.0,6690.0,36902.0,10,0,0,0,0,48,0,0,0,0,0,112,1,2,0,0,276,5,21,2,8,31,10,0,800,1,0,1600,6,0,0,0,1,1
30864009,22329.0,0.0,0.0,0.0,0.0,104491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277642.0,1054.0,1950.0,0.0,0.0,673635.0,13384.0,82603.0,6690.0,36902.0,10,0,0,0,0,48,0,0,0,0,0,112,1,2,0,0,276,5,21,2,8,15,5,800,0,16,1600,0,6,1,1,1,1,1
30864010,18558.0,0.0,0.0,0.0,0.0,57783.0,0.0,0.0,0.0,12306.0,2112.0,0.0,0.0,209536.0,13680.0,28579.0,6690.0,31954.0,534271.0,14875.0,37701.0,6690.0,31954.0,10,0,0,0,0,27,0,0,0,1,1,88,4,9,2,6,357,6,14,2,6,31,10,0,800,1,0,1600,23,0,0,0,1,1
30864011,18558.0,0.0,0.0,0.0,0.0,57783.0,0.0,0.0,0.0,12306.0,2112.0,0.0,0.0,209536.0,13680.0,28579.0,6690.0,31954.0,534271.0,14875.0,37701.0,6690.0,31954.0,10,0,0,0,0,27,0,0,0,1,1,88,4,9,2,6,357,6,14,2,6,15,5,800,0,16,1600,0,23,1,1,1,1,1
30864012,12468.0,0.0,0.0,0.0,0.0,48408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118193.0,0.0,740.0,0.0,740.0,270268.0,3306.0,4046.0,0.0,740.0,5,0,0,0,0,20,0,0,0,0,0,61,0,1,0,1,145,1,2,0,1,31,10,0,800,1,0,1600,20,0,0,0,1,1
30864013,12468.0,0.0,0.0,0.0,0.0,48408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118193.0,0.0,740.0,0.0,740.0,270268.0,3306.0,4046.0,0.0,740.0,5,0,0,0,0,20,0,0,0,0,0,61,0,1,0,1,145,1,2,0,1,15,5,800,0,16,1600,0,20,1,1,1,1,1
30864014,25222.0,1054.0,0.0,0.0,0.0,76493.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,210808.0,1054.0,3548.0,0.0,3548.0,514709.0,11428.0,67412.0,6690.0,37642.0,8,1,0,0,0,22,1,0,0,0,0,75,1,2,0,2,184,4,13,2,9,31,10,0,800,1,0,1600,0,0,0,0,1,1
30864015,25222.0,1054.0,0.0,0.0,0.0,76493.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,210808.0,1054.0,3548.0,0.0,3548.0,514709.0,11428.0,67412.0,6690.0,37642.0,8,1,0,0,0,22,1,0,0,0,0,75,1,2,0,2,184,4,13,2,9,15,5,800,0,16,1600,0,0,1,1,1,1,1
30864220,17373.0,9603.0,2367.0,0.0,0.0,89595.0,28602.0,8871.0,0.0,0.0,3063.0,3063.0,0.0,200817.0,35538.0,8871.0,0.0,0.0,333210.0,44229.0,15612.0,0.0,0.0,8,3,1,0,0,36,7,2,0,0,1,78,8,2,0,0,139,14,3,0,0,0,0,1800,0,0,600,0,0,1,1,0,1,1
30864221,98884.0,0.0,12860.0,0.0,12860.0,321653.0,17727.0,163893.0,0.0,16103.0,0.0,0.0,0.0,792866.0,17727.0,530656.0,0.0,89518.0,1552512.0,39651.0,819901.0,6438.0,124369.0,5,0,1,0,1,23,1,9,0,2,0,46,1,20,0,4,143,6,36,2,10,0,0,0,0,0,800,0,0,1,1,1,1,1
30864222,69425.0,0.0,470.0,0.0,0.0,154687.0,283.0,470.0,0.0,0.0,0.0,0.0,0.0,280800.0,16733.0,3123.0,0.0,2653.0,533675.0,16826.0,19936.0,0.0,2653.0,24,0,1,0,0,68,2,1,0,0,0,179,5,3,0,2,471,6,6,0,2,31,10,0,800,1,0,1600,0,0,0,0,1,1
30864223,69425.0,0.0,470.0,0.0,0.0,154687.0,283.0,470.0,0.0,0.0,0.0,0.0,0.0,280800.0,16733.0,3123.0,0.0,2653.0,533675.0,16826.0,19936.0,0.0,2653.0,24,0,1,0,0,68,2,1,0,0,0,179,5,3,0,2,471,6,6,0,2,15,5,800,0,16,1600,0,0,1,1,1,1,1
30864224,12180.0,0.0,0.0,0.0,0.0,57561.0,2733.0,2733.0,1011.0,1011.0,1098.0,0.0,0.0,171192.0,2733.0,3663.0,1011.0,1011.0,394136.0,2796.0,22088.0,1011.0,1011.0,31,0,0,0,0,162,2,2,1,1,1,390,2,5,1,1,927,3,9,1,1,31,10,2000,800,1,1000,1600,0,1,1,0,1,1
30864225,12180.0,0.0,0.0,0.0,0.0,57561.0,2733.0,2733.0,1011.0,1011.0,1098.0,0.0,0.0,171192.0,2733.0,3663.0,1011.0,1011.0,394136.0,2796.0,22088.0,1011.0,1011.0,31,0,0,0,0,162,2,2,1,1,1,390,2,5,1,1,927,3,9,1,1,15,5,800,2000,16,1600,1000,0,1,1,1,1,1
30864226,73265.0,0.0,0.0,0.0,0.0,175779.0,14383.0,14383.0,4860.0,14383.0,0.0,0.0,0.0,404920.0,17182.0,28894.0,4860.0,28894.0,743656.0,23230.0,30742.0,4860.0,28894.0,10,0,0,0,0,40,4,4,2,4,0,153,6,6,2,6,469,8,8,2,6,31,10,1800,800,1,800,1000,0,1,1,0,1,1
